pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,ra,dec
"11 Com b","11 Com",2,1,"Radial Velocity",2007,"Xinglong Station",323.21000000000,1.1780000000,12.20000000,4914.89848585,14.900000,,,0.238000,"G8 III",4874.00,13.760000,2.090000,1.97823,93.18460000,185.1787793,17.7932516
"11 UMi b","11 UMi",1,1,"Radial Velocity",2009,"Thueringer Landessternwarte Tautenburg",516.21997000000,1.5300000000,12.30000000,4684.81420000,13.800000,,,0.080000,"K4 III",4213.00,29.790000,2.780000,2.42951,125.32100000,229.2745954,71.8239428
"14 And b","14 And",1,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",186.76000000000,0.7750000000,13.10000000,1131.15130051,2.760000,,,0.000000,"K0 III",4888.00,11.550000,1.780000,1.83992,75.43920000,352.8241500,39.2358367
"14 Her b","14 Her",1,2,"Radial Velocity",2002,"W. M. Keck Observatory",1766.41000000000,2.8390000000,12.50000000,2828.67282230,7.960000,,,0.368300,"K0",5338.00,0.930000,0.970000,-0.15273,17.93230000,242.6021014,43.8163621
"16 Cyg B b","16 Cyg B",3,1,"Radial Velocity",1996,"Multiple Observatories",798.50000000000,1.6600000000,13.50000000,565.73740000,1.260000,,,0.680000,"G3 V",5750.00,1.130000,1.080000,0.09729,21.13970000,295.4656422,50.5168243
"17 Sco b","17 Sco",1,1,"Radial Velocity",2020,"Lick Observatory",578.38000000000,1.4500000000,12.90000000,1373.01871824,3.510000,,,0.060000,"K3 III",4157.00,25.920000,1.220000,2.25435,124.95300000,243.4620874,-11.8377905
"18 Del b","18 Del",2,1,"Radial Velocity",2008,"Okayama Astrophysical Observatory",982.85000000000,2.4760000000,12.50000000,2926.24614325,8.230000,,,0.024000,"G6 III",4980.00,8.800000,2.100000,1.63367,76.22200000,314.6078375,10.8391378
"1RXS J160929.1-210524 b","1RXS J160929.1-210524",1,1,"Imaging",2008,"Gemini Observatory",,330.0000000000,18.64700000,3000.00000000,2.540000,1700.00,,,"K7 V",4060.00,1.313160,0.850000,-0.37000,139.13500000,242.3762343,-21.0831403
"24 Boo b","24 Boo",1,1,"Radial Velocity",2018,"Okayama Astrophysical Observatory",30.33000000000,0.1940000000,13.90000000,280.64248338,0.574000,,,0.032000,"G3 IV",4816.00,12.190000,1.050000,1.87691,95.98630000,217.1555242,49.8446488
"24 Sex b","24 Sex",1,2,"Radial Velocity",2010,"Lick Observatory",452.80000000000,1.3330000000,13.40000000,632.46000000,1.440000,,,0.090000,"K0 IV",5098.00,4.900000,1.540000,1.16400,72.06910000,155.8684866,-0.9023998
"24 Sex c","24 Sex",1,2,"Radial Velocity",2010,"Lick Observatory",883.00000000000,2.0800000000,13.90000000,273.32000000,0.559000,,,0.290000,"K0 IV",5098.00,4.900000,1.540000,1.16400,72.06910000,155.8684866,-0.9023998
"2M0437 b","2MASS J04372171+2651014",1,1,"Imaging",2021,"Subaru Telescope",,118.0000000000,13.00000000,1271.31362800,3.180000,1450.00,,,"M V",3100.00,0.840000,0.170000,-1.16368,128.48400000,69.3405531,26.8502997
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",2,1,"Imaging",2013,"Paranal Observatory",,84.0000000000,12.30000000,4131.79000000,12.200000,,,,"M5.5/M6",,,0.190000,,47.20000000,15.8992489,-55.2658291
"2MASS J01225093-2439505 b","2MASS J01225093-2439505",1,1,"Imaging",2013,"W. M. Keck Observatory",,52.0000000000,11.20900000,7786.50000000,30.400000,1600.00,,,"M3.5 V",3530.00,0.366450,0.400000,-1.72000,33.82810000,20.7128012,-24.6646128
"2MASS J02192210-3925225 b","2MASS J02192210-3925225",1,1,"Imaging",2015,"Cerro Tololo Inter-American Observatory",,156.0000000000,16.14096000,4417.83700000,5.770000,,,,"M6",3064.00,0.281000,0.108000,-2.23000,40.08964117,34.8427046,-39.4230767
"2MASS J0249-0557 c","2MASS J0249-0557 A",2,1,"Imaging",2018,"Mauna Kea Observatory",,1950.0000000000,17.37392009,3616.88727166,3.790000,1723.00,,,"M6 V",2859.00,0.315959,0.046000,-2.59000,66.06130000,42.4851627,-5.9599921
"2MASS J03590986+2009361 b","2MASS J03590986+2009361",1,1,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",,572.0000000000,12.20000000,5720.91132600,17.300000,2369.00,,,,2943.00,0.289776,0.264996,-2.24602,117.43500000,59.7911026,20.1599759
"2MASS J04414489+2301513 b","2MASS J04414489+2301513",1,1,"Imaging",2010,"Hubble Space Telescope",,15.0000000000,12.60000000,2383.60000000,6.550000,,,,"M8.5",2936.00,0.231916,0.019000,-2.44363,120.42398696,70.4371079,23.0308544
"2MASS J11011926-7732383 b","2MASS J11011926-7732383",1,1,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",,266.0000000000,11.90000000,8899.19539600,29.000000,2677.00,,,,,,,,,165.3295388,-77.5440912
"2MASS J11550485-7919108 b","2MASS J11550485-7919108",1,1,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",,587.0000000000,12.10000000,6356.56814000,19.700000,2506.00,,,,3021.00,0.600455,0.588460,-1.56774,100.86200000,178.7691634,-79.3197558
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",1,1,"Imaging",2004,"Paranal Observatory",,46.0000000000,15.69257298,1652.70771640,2.350000,1163.00,,,"M8",2825.00,0.218870,0.188001,-2.56086,64.30800000,181.8890906,-39.5484399
"2MASS J19383260+4603591 b","2MASS J19383260+4603591",2,3,"Eclipse Timing Variations",2015,"Kepler",406.00000000000,0.9200000000,13.40000000,603.87700000,1.380000,,,0.330000,,29564.00,0.203000,0.480000,1.45000,396.33200000,294.6359173,46.0664076
"2MASS J21252752-8138278 b","2MASS J21252752-8138278",1,1,"Imaging",2024,"European Space Agency (ESA) Gaia Satellite",,7493.0000000000,12.40000000,3813.94088400,11.000000,1616.00,,,,3592.00,0.672832,0.643977,-1.16815,34.11540000,321.3662989,-81.6414894
